Area,Curso
CIENCIAS EXATAS E DA TERRA,MATEMÁTICA
CIENCIAS EXATAS E DA TERRA,ESTATÍSTICA
CIENCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO
CIENCIAS EXATAS E DA TERRA,ASTRONOMIA
CIENCIAS EXATAS E DA TERRA,FÍSICA
CIENCIAS EXATAS E DA TERRA,QUÍMICA
CIENCIAS EXATAS E DA TERRA,GEOCIÊNCIAS
CIENCIAS EXATAS E DA TERRA,CIÊNCIAS BIOLÓGICAS
CIENCIAS EXATAS E DA TERRA,MATEMATICA - EAD
CIENCIAS EXATAS E DA TERRA,SISTEMAS DE INFORMAÇÃO
CIÊNCIAS EXATAS E DA TERRA,TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
BIOLOGIA,BIOQUÍMICA
BIOLOGIA,BIOFÍSICA
BIOLOGIA,GENÉTICA
BIOLOGIA,FARMACOLOGIA
BIOLOGIA,BOTÂNICA
BIOLOGIA,ZOOLOGIA
BIOLOGIA,ECOLOGIA
BIOLOGIA,FISIOLOGIA
BIOLOGIA,IMUNOLOGIA
ENGENHARIA,ENGENHARIA CIVIL
ENGENHARIA,ENGENHARIA ELÉTRICA
ENGENHARIA,ENGENHARIA MECÂNICA
ENGENHARIA,ENGENHARIA QUÍMICA
ENGENHARIA,ENGENHARIA SANITÁRIA
ENGENHARIA,ENGENHARIA DE PRODUÇÃO
ENGENHARIA,ENGENHARIA METALÚRGICA
ENGENHARIA,ENGENHARIA NUCLEAR
ENGENHARIA,ENGENHARIA DE TRANSPORTES
ENGENHARIA,ENGENHARIA NAVAL
ENGENHARIA,ENGENHARIA AEROESPACIAL
ENGENHARIA,ENGENHARIA DE AGRIMENSURA
ENGENHARIA,ENGENHARIA AMBIENTAL
ENGENHARIA,ENGENHARIA AGRICOLA E AMBIENTAL
ENGENHARIA,ENGENHARIA FLORESTAL
ENGENHARIA,CIÊNCIA E TECNOLOGIA DE ALIMENTOS
ENGENHARIA,TECNOLOGIA EM GESTÃO AMBIENTAL
ENGENHARIA,ENGENHARIA DE ALIMENTOS
ENGENHARIA,ENGENHARIA DE AGRIMENSURA E CARTOGRAFICA
CIÊNCIAS DA SAÚDE,MEDICINA
CIÊNCIAS DA SAÚDE,ENFERMAGEM
CIÊNCIAS DA SAÚDE,FARMÁCIA
CIÊNCIAS DA SAÚDE,ODONTOLOGIA
CIÊNCIAS DA SAÚDE,NUTRIÇÃO
CIÊNCIAS DA SAÚDE,FONOAUDIOLOGIA
CIÊNCIAS DA SAÚDE,FISIOTERAPIA
CIÊNCIAS DA SAÚDE,TERAPIA OCUPACIONAL
CIÊNCIAS DA SAÚDE,EDUCAÇÃO FÍSICA
CIÊNCIAS HUMANAS,FILOSOFIA
CIÊNCIAS HUMANAS,SOCIOLOGIA
CIÊNCIAS HUMANAS,ANTROPOLOGIA
CIÊNCIAS HUMANAS,ARQUEOLOGIA
CIÊNCIAS HUMANAS,HISTÓRIA
CIÊNCIAS HUMANAS,HISTORIA - EAD
CIÊNCIAS HUMANAS,GEOGRAFIA
CIÊNCIAS HUMANAS,PSICOLOGIA
CIÊNCIAS HUMANAS,EDUCAÇÃO
CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA
CIÊNCIAS HUMANAS,TEOLOGIA
CIENCIAS HUMANAS,COMUNICAÇÃO SOCIAL
CIENCIAS HUMANAS,CIÊNCIAS SOCIAIS
CIENCIAS HUMANAS,EDUCAÇÃO INFANTIL
CIENCIAS HUMANAS,EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA
CIENCIAS HUMANAS,NORMAL SUPERIOR
CIÊNCIAS AGRÁRIAS,AGRONOMIA
CIÊNCIAS AGRÁRIAS,RECURSOS FLORESTAIS (INCLUINDO ENGENHARIA FLORESTAL)
CIÊNCIAS AGRÁRIAS,ENGENHARIA AGRÍCOLA
CIÊNCIAS AGRÁRIAS,ZOOTECNIA
CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA
CIÊNCIAS AGRÁRIAS,RECURSOS PESQUEIROS
CIÊNCIAS AGRÁRIAS,CIÊNCIA E TECNOLOGIA DE LATICÍNIOS
CIÊNCIAS AGRÁRIAS,ENGENHARIA DE PESCA E DE ALIMENTOS
CIÊNCIAS SOCIAIS APLICADAS,DIREITO
CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO
CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRACAO - HABILITACAO EM ADMINISTRACAO DE COOPERATIVAS
CIÊNCIAS ECONÔMICAS,ECONOMIA
CIÊNCIAS ECONÔMICAS,CIÊNCIAS CONTÁBEIS
CIÊNCIAS ECONÔMICAS,GESTÃO DO AGRONEGÓCIO
CIÊNCIAS ECONÔMICAS,CIÊNCIAS ECONÔMICAS
CIÊNCIAS ECONÔMICAS,CIÊNCIAS ECONÔMICAS - ÊNFASE EM AGRONEGÓCIO
CIÊNCIAS ECONÔMICAS,CIÊNCIAS ECONÔMICAS - ÊNFASE EM ECONOMIA
CIÊNCIAS ECONÔMICAS,COOPERATIVISMO
CIÊNCIAS ECONÔMICAS,GESTÃO DE COOPERATIVAS
CIÊNCIAS ECONÔMICAS,AGRONEGÓCIO
CIÊNCIAS SOCIAIS APLICADAS,ARQUITETURA E URBANISMO
CIÊNCIAS SOCIAIS APLICADAS,CIÊNCIA DA INFORMAÇÃO
CIÊNCIAS SOCIAIS APLICADAS,BIBLIOTECONOMIA
CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO
CIÊNCIAS SOCIAIS APLICADAS,SERVIÇO SOCIAL
CIÊNCIAS SOCIAIS APLICADAS,TURISMO
LINGUÍSTICA LETRAS E ARTES,LINGUÍSTICA
LINGUÍSTICA LETRAS E ARTES,LETRAS
LINGUÍSTICA LETRAS E ARTES,ARTES
LINGUÍSTICA LETRAS E ARTES,MÚSICA
LINGUÍSTICA LETRAS E ARTES,DANÇA
LINGUÍSTICA LETRAS E ARTES,TEATRO
LINGUÍSTICA LETRAS E ARTES,CINEMA
LINGUÍSTICA LETRAS E ARTES,FOTOGRAFIA
LINGUÍSTICA LETRAS E ARTES, SECRETARIADO EXECUTIVO TRILINGUE PORTUGUES FRANCES INGLES
EDUCACAO, PEDAGOGIA
INTERDISCIPLINARES,ECONOMIA DOMÉSTICA